lat,lon,org_id,type,name,county
39.114214997539875,-74.01587647351369,3,Store,Business 1 (Test Corp 3),Atlantic
40.444918385090425,-75.14907596027908,8,Store,Business 2 (Test Corp 8),Camden
39.362604875318816,-74.2877073611073,5,Store,Business 3 (Test Corp 5),Hunterdon
40.57900373594588,-74.63146437893235,1,Store,Business 4 (Test Corp 1),Passaic
40.91800246952447,-74.53298242534707,2,Employer,Business 5 (Test Corp 2),Essex
39.75894655773672,-74.81357602274583,6,Store,Business 6 (Test Corp 6),Somerset
39.476056952515975,-74.46048764520391,8,Store,Business 7 (Test Corp 8),Ocean
40.88965286355452,-74.15746197038612,1,Employer,Business 8 (Test Corp 1),Morris
39.33226152579733,-75.56564798552684,1,Employer,Business 9 (Test Corp 1),Hudson
39.27115470116357,-74.7714339890366,3,Employer,Business 10 (Test Corp 3),Cape May
39.06573883879256,-74.83170401668443,3,Employer,Business 11 (Test Corp 3),Somerset
40.972053567862574,-74.11100436342032,8,Employer,Business 12 (Test Corp 8),Ocean
40.600274382455005,-73.83922152424532,2,Employer,Business 13 (Test Corp 2),Mercer
39.586131445695116,-75.20888984954404,8,Employer,Business 14 (Test Corp 8),Atlantic
40.374676996816135,-74.89630059416616,1,Store,Business 15 (Test Corp 1),Burlington
39.42793583105169,-74.37844176059056,2,Store,Business 16 (Test Corp 2),Mercer
38.902082094947346,-74.36288519762299,8,Store,Business 17 (Test Corp 8),Union
39.16593810663368,-75.2367811290079,3,Store,Business 18 (Test Corp 3),Atlantic
40.355618731425196,-75.52716407504124,2,Employer,Business 19 (Test Corp 2),Middlesex
40.56117687093702,-73.95719415017453,4,Employer,Business 20 (Test Corp 4),Gloucester
41.190576732690424,-75.33549635850032,4,Employer,Business 21 (Test Corp 4),Gloucester
40.839395590948115,-74.4496470527321,6,Employer,Business 22 (Test Corp 6),Atlantic
40.622415541051055,-74.15684499918137,8,Employer,Business 23 (Test Corp 8),Passaic
40.32490242776008,-74.04993592132875,8,Employer,Business 24 (Test Corp 8),Mercer
39.07858768547469,-74.13784052270816,2,Employer,Business 25 (Test Corp 2),Warren
40.421512601403904,-73.85664441270046,,Residential,Home 1,Sussex
40.55513356663731,-75.40701676646292,,Residential,Home 2,Sussex
41.06007526427625,-74.26113586664049,,Residential,Home 3,Warren
39.10131563925351,-73.95166046256813,,Residential,Home 4,Ocean
40.37842425401028,-75.34218380589925,,Residential,Home 5,Burlington
40.37730732066641,-74.85318009227318,,Residential,Home 6,Monmouth
40.009190977704876,-74.7381073308692,,Residential,Home 7,Salem
39.65690174214195,-74.37123966954732,,Residential,Home 8,Cape May
39.17627810803201,-75.20493933923095,,Residential,Home 9,Middlesex
39.10984336924679,-74.76619046378471,,Residential,Home 10,Sussex
39.273110633165345,-74.02301306235977,,Residential,Home 11,Burlington
39.98848362745359,-75.42175469335203,,Residential,Home 12,Union
40.144867770339346,-75.18512695518716,,Residential,Home 13,Middlesex
40.91457952723305,-75.56630602959294,,Residential,Home 14,Middlesex
39.37701433994574,-74.67793393065641,,Residential,Home 15,Morris
39.8252928568831,-74.61237381948463,,Residential,Home 16,Cape May
39.91614424894991,-75.08592927437111,,Residential,Home 17,Mercer
39.77331595452961,-75.40011093835886,,Residential,Home 18,Cape May
38.89651314147862,-75.01429027538214,,Residential,Home 19,Essex
39.06843445553076,-74.97841859304631,,Residential,Home 20,Passaic
38.869699483324766,-74.54207170806919,,Residential,Home 21,Warren
40.35465833861731,-75.2518521993069,,Residential,Home 22,Hunterdon
41.13333204728869,-74.45874908355363,,Residential,Home 23,Warren
39.183824714558774,-74.58908330810563,,Residential,Home 24,Essex
39.685369083867585,-74.08699661527965,,Residential,Home 25,Morris
40.66868105592758,-75.41257636719939,,Residential,Home 26,Sussex
38.961678041723374,-75.39184453369735,,Residential,Home 27,Middlesex
40.8679763883087,-74.51087698750163,,Residential,Home 28,Atlantic
39.81134569900786,-75.04848897157771,,Residential,Home 29,Morris
40.37270066192892,-73.82380851162559,,Residential,Home 30,Atlantic
40.64690960533706,-74.70386470239956,,Residential,Home 31,Burlington
39.953968669532756,-74.44841245946422,,Residential,Home 32,Ocean
40.82019870795977,-75.10204077230708,,Residential,Home 33,Warren
40.06026442518493,-75.47837406274338,,Residential,Home 34,Middlesex
39.285846943384676,-74.86644911434588,,Residential,Home 35,Passaic
39.33214197437467,-75.4725776306156,,Residential,Home 36,Hudson
39.170003269375094,-74.05614837974365,,Residential,Home 37,Warren
40.65378008955626,-75.53826639187996,,Residential,Home 38,Morris
41.08915176958958,-74.87363027779122,,Residential,Home 39,Monmouth
39.24326450865296,-75.46990420226145,,Residential,Home 40,Atlantic
39.2437174953266,-74.59014796078694,,Residential,Home 41,Gloucester
40.98120372901666,-73.8611304726588,,Residential,Home 42,Atlantic
40.57371588634207,-74.9359813600732,,Residential,Home 43,Hudson
40.972991264255796,-74.24328401685848,,Residential,Home 44,Passaic
39.387249402360574,-75.27082403234371,,Residential,Home 45,Warren
39.204968911439096,-75.56779260955443,,Residential,Home 46,Gloucester
38.87158263732082,-75.25939584683078,,Residential,Home 47,Sussex
40.9646770588239,-74.31630560394106,,Residential,Home 48,Burlington
41.29431661559021,-74.15744571116075,,Residential,Home 49,Union
40.55687311660591,-74.47501865439268,,Residential,Home 50,Salem
41.266764080183876,-73.9644934594786,,Residential,Home 51,Essex
39.134379302888966,-74.69711601662857,,Residential,Home 52,Camden
39.14778770853958,-74.97390154323651,,Residential,Home 53,Mercer
39.412434806226074,-74.08209926648165,,Residential,Home 54,Hunterdon
39.996105350550216,-75.46845839686193,,Residential,Home 55,Essex
